id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords
5764,SAAC,medium_airport,Comodoro Pierrestegui Airport,-31.2969,-57.9966,112,SA,AR,AR-E,Concordia,no,SAAC,COC,DIA,,https://en.wikipedia.org/wiki/Comodoro_Pierrestegui_Airport,
5765,SAAG,medium_airport,Gualeguaychu Airport,-33.005567,-58.612833,75,SA,AR,AR-E,Gualeguaychu,no,SAAG,GHU,GUA,,https://en.wikipedia.org/wiki/Gualeguaych%C3%BA_Airport,
5768,SAAP,medium_airport,General Urquiza Airport,-31.7948,-60.4804,242,SA,AR,AR-E,Parana,yes,SAAP,PRA,PAR,,https://en.wikipedia.org/wiki/General_Urquiza_Airport,
5769,SAAR,medium_airport,Rosario Islas Malvinas International Airport,-32.9036,-60.785,85,SA,AR,AR-S,Rosario,yes,SAAR,ROS,ROS,,https://en.wikipedia.org/wiki/Rosario_International_Airport,Fisherton Airport
5770,SAAV,medium_airport,Sauce Viejo Airport,-31.7117,-60.8117,55,SA,AR,AR-S,Santa Fe,yes,SAAV,SFN,SVO,,https://en.wikipedia.org/wiki/Sauce_Viejo_Airport,
5771,SABE,large_airport,Jorge Newbery Airpark,-34.5592,-58.4156,18,SA,AR,AR-C,Buenos Aires,yes,SABE,AEP,AER,,https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery,
5773,SACO,medium_airport,Ingeniero Ambrosio Taravella Airport,-31.323601,-64.208,1604,SA,AR,AR-X,Cordoba,yes,SACO,COR,CBA,,https://en.wikipedia.org/wiki/Ingeniero_Ambrosio_L.V._Taravella_International_Airport,
5775,SADF,medium_airport,San Fernando Airport,-34.4532,-58.5896,10,SA,AR,AR-B,San Fernando,no,SADF,,FDO,,https://en.wikipedia.org/wiki/San_Fernando_Airport_(Argentina),San Fernando International Airport
5777,SADL,medium_airport,La Plata Airport,-34.9722,-57.8947,72,SA,AR,AR-B,La Plata,no,SADL,LPG,PTA,,https://en.wikipedia.org/wiki/La_Plata_Airport,
5780,SADP,medium_airport,El Palomar Airport,-34.6099,-58.6126,59,SA,AR,AR-B,El Palomar,no,SADP,EPA,PAL,,https://en.wikipedia.org/wiki/El_Palomar_Airport,
5781,SAEZ,large_airport,Minister Pistarini International Airport,-34.8222,-58.5358,67,SA,AR,AR-B,Buenos Aires (Ezeiza),yes,SAEZ,EZE,EZE,http://www.aa2000.com.ar/index.php,https://en.wikipedia.org/wiki/Ministro_Pistarini_International_Airport,"BUE, Ezeiza"
5784,SAHS,medium_airport,Rincon De Los Sauces Airport,-37.390598,-68.904198,1968,SA,AR,AR-Q,Rincon de los Sauces,no,SAHS,RDS,RIN,,https://en.wikipedia.org/wiki/Rinc%C3%B3n_de_los_Sauces_Airport,
5785,SAHZ,medium_airport,Zapala Airport,-38.975498,-70.113602,3330,SA,AR,AR-Q,Zapala,no,SAHZ,APZ,ZAP,,https://en.wikipedia.org/wiki/Zapala_Airport,
5786,SAME,medium_airport,El Plumerillo Airport,-32.83169937,-68.79290009,2310,SA,AR,AR-M,Mendoza,yes,SAME,MDZ,DOZ,,https://en.wikipedia.org/wiki/Governor_Francisco_Gabrielli_International_Airport,
5787,SAMM,medium_airport,Comodoro D.R. Salomón Airport,-35.493599,-69.574303,4685,SA,AR,AR-M,Malargue,no,SAMM,LGS,MLG,,https://en.wikipedia.org/wiki/Comodoro_D._Ricardo_Salom%C3%B3n_Airport,
5788,SAMR,medium_airport,Suboficial Ay Santiago Germano Airport,-34.588299,-68.4039,2470,SA,AR,AR-M,San Rafael,yes,SAMR,AFA,SRA,,https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina),
5789,SANC,medium_airport,Coronel Felipe Varela International Airport,-28.593117,-65.7512,1522,SA,AR,AR-K,Catamarca,yes,SANC,CTC,CAT,,https://en.wikipedia.org/wiki/Coronel_Felipe_Varela_International_Airport,
5790,SANE,medium_airport,Vicecomodoro Angel D. La Paz Aragonés Airport,-27.76555634,-64.30999756,656,SA,AR,AR-G,Santiago del Estero,yes,SANE,SDE,SDE,,https://en.wikipedia.org/wiki/Santiago_del_Estero_Airport,
5792,SANL,medium_airport,Capitan V A Almonacid Airport,-29.381599,-66.795799,1437,SA,AR,AR-F,La Rioja,yes,SANL,IRJ,LAR,,https://en.wikipedia.org/wiki/Capit%C3%A1n_Vicente_Almandos_Almonacid_Airport,
318304,SANR,medium_airport,Termas de Río Hondo international Airport,-27.4966,-64.93595,935,SA,AR,AR-G,Termas de Río Hondo,yes,SANR,RHD,TRH,,https://en.wikipedia.org/wiki/Las_Termas_Airport,
5794,SANT,medium_airport,Teniente Benjamin Matienzo Airport,-26.8409,-65.104897,1493,SA,AR,AR-T,San Miguel de Tucumán,yes,SANT,TUC,TUC,,https://en.wikipedia.org/wiki/Benjam%C3%ADn_Matienzo_International_Airport,
5795,SANU,medium_airport,Domingo Faustino Sarmiento Airport,-31.571501,-68.418198,1958,SA,AR,AR-J,San Juan,yes,SANU,UAQ,JUA,,https://en.wikipedia.org/wiki/Domingo_Faustino_Sarmiento_Airport,
5796,SAOC,medium_airport,Area De Material Airport,-33.085098,-64.261299,1380,SA,AR,AR-X,Rio Cuarto,no,SAOC,RCU,TRC,,https://en.wikipedia.org/wiki/Las_Higueras_Airport,
5797,SAOD,medium_airport,Villa Dolores Airport,-31.9452,-65.146301,1847,SA,AR,AR-X,Villa Dolores,no,SAOD,VDR,LDR,,https://en.wikipedia.org/wiki/Villa_Dolores_Airport,
5800,SAOR,medium_airport,Villa Reynolds Airport,-33.72990036,-65.38739777,1591,SA,AR,AR-D,Villa Mercedes,no,SAOR,VME,RYD,,https://en.wikipedia.org/wiki/Villa_Reynolds_Airport,Pringles
5802,SAOU,medium_airport,Brigadier Mayor D Cesar Raul Ojeda Airport,-33.273201,-66.3564,2328,SA,AR,AR-D,San Luis,yes,SAOU,LUQ,UIS,,https://en.wikipedia.org/wiki/Brigadier_Mayor_C%C3%A9sar_Ra%C3%BAl_Ojeda_Airport,
